reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in
wet,y_H2O,0.05,,cold,2.2799753467361352,27.381180522886527,1100.331572178451,1100.3387240517557,1173.9,0,0.0014337166382389376,True,True,True,optimal,0.0417560415506867,1.6546998728488346e-17,0.0005732975844410569,0.02862508458921365,0.9708016178263453,1050.0
wet,y_H2O,0.1,,cold,4.576229095340143,27.611780976894917,1104.0460645682465,1104.0560721155587,1173.9,0,0.0017924130866748603,True,True,True,optimal,0.14985323803475784,5.024598870720559e-22,0.0020438715346009217,0.056217963466537,0.9417381649988621,1050.0
wet,y_H2O,0.2,,cold,9.108592649404313,27.7234012804655,1111.3217253108992,1111.3392336507488,1173.9,0,0.0025289426734448925,True,True,True,optimal,0.542777696534784,2.483973748659989e-19,0.0073066902575504794,0.1073582468068543,0.8853350629355953,1050.0
wet,y_H2O,0.25,,cold,11.348021568688402,27.749065597541346,1114.888107363102,1114.9081604257963,1173.9,0,0.002907380597842765,True,True,True,optimal,0.8236943228160403,0.0,0.011016570279995381,0.1310474103475187,0.8579360193724909,1050.0
wet,y_H2O,0.3,,cold,,,,,,,,,,False,rc=1,,,,,,
wet,y_H2O,0.5,,cold+n_cont40,22.261847857722568,27.78717203852727,1132.0128861158698,1132.0432006911558,1173.9,0,0.004904343995657402,True,True,True,optimal,3.0449923268875305,0.0,0.03945077805770994,0.23178051465252147,0.7287687072897792,1050.0
wet,y_H2O,0.75,,cold+n_cont40,32.62429009305484,27.71085642459325,1147.9468893484902,1147.9843415057871,1173.9,0,0.0070779255595165985,True,True,True,optimal,6.584866928390137,0.0,0.08274801154815857,0.30461946288697855,0.612632525564863,1050.0
wet,y_H2O,0.99,None,cold,40.889673513428235,26.772524968028762,1160.0431505454617,1160.091716586239,1173.9,0,0.0091074763244186,True,True,True,optimal,10.54599338953444,4.902956330181993e-17,0.12929638378995828,0.34632089300346247,0.5243827232065792,1050.0
