reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in
reduction,solid_flow,0.5,0.00034508875739644966,cold+n_cont40,99.90050312148345,22.86829113326109,1001.9993469940478,1001.9437671243355,1173.9,0,0.01673801945344469,True,True,True,optimal,67.60552580226032,0.0012712220446020194,0.33705521066847205,0.057521517719251895,0.6041520495676741,1050.0
reduction,solid_flow,0.75,0.0005176331360946745,cold+n_cont40,99.55304429475322,27.302937143822792,1016.7372464664179,1016.6592504563994,1173.9,0,0.013530954988398984,True,True,True,optimal,49.52417415527026,0.005404321136003954,0.45487393460149755,0.12088381530020084,0.41883792896229766,1050.0
reduction,solid_flow,1.0,0.0006901775147928993,cold,99.06189827675497,29.624816263758643,1034.8418291871549,1034.7547840385296,1173.9,0,0.01092843281937687,True,True,True,optimal,36.051218699898,0.010917720176731283,0.5173621286818537,0.17825666348349214,0.2934634876579214,1050.0
reduction,solid_flow,1.5,0.001035266272189349,cold,97.75121136393045,31.375079994139476,1067.84990074589,1067.77448692669,1173.9,0,0.007360466738166061,True,True,True,optimal,19.05787319942231,0.024969167782352336,0.5902179580371234,0.23680597448962207,0.14800689969090225,1050.0
reduction,solid_flow,2.0,0.0013803550295857986,cold,95.92857070838136,32.30538921203105,1091.9923899067187,1091.9458937552722,1173.9,0,0.005309712313959916,True,True,True,optimal,10.587098818322392,0.04409820184550295,0.6358920829564111,0.2398044185066495,0.08020529669143636,1050.0
