reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in,H
reduction,H,0.5,,cold,97.19906282062493,21.434106359412116,1064.2443660721208,1064.1210999062985,1173.9,0,0.007394991025661865,True,True,True,optimal,21.185933796309527,0.031185003698032718,0.6120161067290963,0.19181477091734458,0.16498411865552634,1050.0,0.5
reduction,H,0.6,,cold+n_cont40,97.86578421206013,23.347295705234387,1057.3915135553182,1057.2764715524581,1173.9,0,0.008225450085293195,True,True,True,optimal,24.49787226985036,0.024004855029718296,0.5891970123654604,0.19407172603907108,0.19272640656575027,1050.0,0.5999999999999996
reduction,H,0.7,,cold,98.31275716003832,25.0294054126474,1051.3425590407385,1051.2349227883965,1173.9,0,0.008952967498658882,True,True,True,optimal,27.487436409782685,0.01914963478920451,0.569009702819362,0.19363338107439385,0.2182072813170415,1050.0,0.7000000000000002
reduction,H,0.8,,cold,98.6442212640157,26.71879854559692,1045.2935885091945,1045.193434299144,1173.9,0,0.009680554543818227,True,True,True,optimal,30.591960525251025,0.015529118596285493,0.5498009831433327,0.1895845225963966,0.24508537566398514,1050.0,0.7999999999999998
reduction,H,0.85,,cold,98.77350226952537,27.5150574471886,1042.4399197151497,1042.3433281597947,1173.9,0,0.010022809285230829,True,True,True,optimal,32.07737534221747,0.014109479596016468,0.5409142875081961,0.18687197348671764,0.2581042594090693,1050.0,0.8499999999999996
reduction,H,0.9,,cold,98.88467486887227,28.29044775209175,1039.66079919409,1039.5676990657087,1173.9,0,0.010351573686197315,True,True,True,optimal,33.537804652977655,0.0128851785812402,0.5324064412421291,0.1837043690304182,0.2710039980966808,1050.0,0.9000000000000004
reduction,H,0.95,,cold,98.97821012841229,28.939941778495953,1037.3091088573722,1037.2189491727595,1173.9,0,0.010634743321571726,True,True,True,optimal,34.751080994317995,0.011846821125632404,0.5248937288937182,0.18144668883914028,0.28181276114150894,1050.0,0.9500000000000002
reduction,H,1.0,,cold,99.06189827675497,29.624816263758643,1034.8418291871549,1034.7547840385296,1173.9,0,0.01092843281937687,True,True,True,optimal,36.051218699898,0.010917720176731283,0.5173621286818537,0.17825666348349214,0.2934634876579214,1050.0,1.0
