reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in,H
wet,H,0.5,,cold,35.67445815936818,23.018345606174307,1149.7987328279403,1149.8511792492272,1173.9,0,0.00800009811041132,True,True,True,optimal,7.511678820456203,4.260537061259325e-21,0.09357585353080015,0.3265998995118641,0.5798242469573358,1050.0,0.5
wet,H,0.55,,cold,36.76419602238399,23.797784470524512,1151.9274196629017,1151.9789146328533,1173.9,0,0.008229849292509016,True,True,True,optimal,8.12077973045271,3.071816030187682e-15,0.10082704415053739,0.3310681253060614,0.568104830543395,1050.0,0.5499999999999998
wet,H,0.6,,walk,38.394064856708574,24.96047148087577,1155.080622628532,1155.1309443173363,1173.9,0,0.008572468523820532,True,True,True,optimal,9.0164456020978,0.0,0.11139466540197686,0.33787662935663,0.5507287052417345,1050.0,0.6
wet,H,0.65,,walk,39.66702862335345,25.88110682378367,1157.597744365382,1157.647152285483,1173.9,0,0.008844168628010103,True,True,True,optimal,9.778430537843654,0.0,0.1203380785082285,0.34241397399787865,0.5372479474938933,1050.0,0.65
wet,H,0.7,,cold,40.889673513428235,26.772524968028762,1160.0431505454617,1160.091716586239,1173.9,0,0.0091074763244186,True,True,True,optimal,10.54599338953444,4.902956330181993e-17,0.12929638378995828,0.34632089300346247,0.5243827232065792,1050.0,0.7000000000000002
wet,H,0.75,,walk,42.06500663261867,27.636245970083156,1162.4202965978825,1162.4680799523708,1173.9,0,0.009362799109436782,True,True,True,optimal,11.317676335548327,0.0,0.13825402075752652,0.3496544463550233,0.5120915328874914,1050.0,0.75
wet,H,0.775,,walk,42.638415858132745,28.060058271011044,1163.5894155374356,1163.6368249849859,1173.9,0,0.009488188069171321,True,True,True,optimal,11.706243631483192,0.0,0.14274656539819655,0.3511312447433707,0.5061221898584387,1050.0,0.775
wet,H,0.8,,cold,41.87768260311177,30.053380528544,1166.4972133828069,1166.7265489684114,1173.9,0,1.9484665114316508,False,False,False,optimal,11.454954346666202,0.00632177077883164,0.13890907629716948,0.3412907590052812,0.507241985774478,1050.0,0.7999999999999998
wet,H,0.85,,walk,43.05033705297047,29.519806899645012,1174.7011828077589,1174.371134831908,1173.9,0,0.17740132646634177,False,False,False,optimal,12.008761158628669,0.0036029426613516185,0.1458288123913288,0.3473652227957741,0.5006438184868176,1050.0,0.85
wet,H,0.9,,walk,43.18241190729768,30.382620196538117,1172.5939352036435,1172.4060414684957,1173.9,0,1.6923513488654631,False,False,False,optimal,12.2790358419825,0.0054129478950353405,0.14861443298237917,0.34246277108133777,0.49824730143161466,1050.0,0.9
wet,H,0.95,,cold,43.65562616931031,31.353787276359647,1163.4703456910802,1163.4080799598792,1173.9,0,0.10934239796209377,False,False,False,infeasible,13.001364721274314,7.029223567798009e-06,0.1577150106961276,0.35269615983564784,0.4894820216333077,1050.0,0.9500000000000002
wet,H,1.0,,cold,43.92881110061706,29.77043881741525,1197.639772468726,1197.6600889988024,1173.9,0,0.6215422536811744,True,True,False,infeasible,13.929189113650061,8.007521451245383e-06,0.16855029456328682,0.34275292415159325,0.4871890807016137,1050.0,1.0
