z,x_norm,T_gas,T_bub,T_sol,P_emul,F_emul,F_bub,C_react,X_solid,X_gas,db,db_max,delta,y_emul_H2,y_bub_H2,y_emul_H2O,y_bub_H2O,y_emul_N2,y_bub_N2,y_emul_O2,y_bub_O2,y_emul_CO2,y_bub_CO2,w_Fe2O3,w_Fe3O4,w_FeO,w_Fe,w_Al2O3,X_prod,flow_mass,dens_mass_particle,particle_porosity,delta_e,u_solid
0.0,0.0,1050.0,1049.9999999999998,1173.9000000000003,96600.0,0.0010041286491797908,0.01970119679460719,10.954406097493383,0.0,0.0,0.034568099940126065,0.1303836547445075,0.6525511653821316,0.99,0.99,1e-05,1e-05,0.01,0.01,1e-05,1e-05,1e-05,1e-05,1.0,1e-05,1e-05,1e-05,0.0,0.0014297098235088092,0.0006901775147928993,3832.400231973526,0.27,0.3474488346178683,7.863439460535641e-05
0.05,0.05,1105.178056704356,1104.6223163009552,1107.6749020572427,96210.41038190531,0.0009501485899432275,0.01975579801360707,2.6387014000857305,52.01478468005799,6.4427824330848384,0.05549949752161941,0.13347710750293262,0.6111556500355164,0.2520197746288038,0.9586125988483247,0.737956603324515,0.03136789040062232,0.010003614807294604,0.009999511728066849,1.000361487843132e-05,9.999511724645272e-06,1.000362450819725e-05,9.999511261504856e-06,0.49499418023019515,0.43554179898116463,0.041813410671837775,0.027650610116801807,6.032009856754123e-16,3.832304197329042,0.0006690647684164325,3715.1659083733884,0.2964367853414138,0.38884434996448364,7.863439460535641e-05
0.1,0.1,1101.0486985663401,1101.0130806612456,1101.1562861606626,95795.69156453338,0.0009496007989365781,0.019756345804613717,1.526601206604676,69.33910190229544,9.37656134280739,0.07179604905406216,0.1334487789786955,0.5800342866896945,0.14588825756507556,0.9332547475988261,0.8439150784085538,0.056734058904316376,0.010176311269540486,0.009991211081149955,1.0176312224485943e-05,9.991211035249576e-06,1.0176444605605804e-05,9.99120467227039e-06,0.3208996126511871,0.5612627554111927,0.07347393634732213,0.04436369559029678,1.1330651093519123e-15,6.060260556450472,0.0006594418196881481,3661.731842284445,0.31082705373730274,0.41996571331030563,7.863439460535641e-05
0.15,0.15,1096.155210258534,1096.1509339124652,1096.1261719760344,95365.85482014451,0.0009495601293728165,0.01975638647417748,1.2785675926540438,78.5641986308362,11.493841521718764,0.0844954792651661,0.13345183785587322,0.560092421895012,0.12219038239437104,0.9124242521506326,0.867529394239181,0.07756857012102465,0.010259703712642412,0.009987203333517556,1.0259705474355145e-05,9.987203248843255e-06,1.0259948331231178e-05,9.987191576303498e-06,0.22673671829411812,0.6148687908532012,0.09904873836312852,0.05934575248955073,1.4307126557619184e-15,8.02149671039431,0.000652497232379123,3623.1701136803854,0.32235132971903346,0.4399075781049881,7.863439460535641e-05
0.2,0.2,1091.3292851757442,1091.3381821893859,1091.2660862733471,94926.61399367575,0.0009493662516239089,0.019756580351926383,1.2032114067650344,84.28224337486499,13.252673179324029,0.0943968198647892,0.13346454241966343,0.5464582209187703,0.11501220902298137,0.8945128227715834,0.874664828650835,0.09548205056295074,0.010302357280473433,0.009985156368641567,1.03023596596669e-05,9.985156254313548e-06,1.0302686050462193e-05,9.985140570202212e-06,0.1677371988976334,0.6383260970643746,0.11993478486159886,0.0740019191763915,1.5966329287394124e-15,9.914071750762313,0.0006467284703064375,3591.137477682103,0.3325629468874237,0.4535417790812298,7.863439460535641e-05
0.25,0.25,1086.626919645619,1086.6577849125724,1086.5496971982186,94481.65298469996,0.000949005117082108,0.01975694148646819,1.189883785796778,88.10147979789406,14.806315709194887,0.10212580729989655,0.1335104311555034,0.5369029826675503,0.11378151410830988,0.878438298095518,0.8759952462143465,0.11155177935066762,0.010202833677936294,0.009989942684395391,1.0202836048458023e-05,9.989942570529532e-06,1.0203163358868628e-05,9.98992684849813e-06,0.12798739715826693,0.6464261636822036,0.13691427643232584,0.08867216272720194,1.6889824097320417e-15,11.785851034496226,0.0006416327923793669,3562.8423262881497,0.34196417942266466,0.4630970173324497,7.863439460535641e-05
0.3,0.3,1082.1145197018939,1082.1511562854876,1082.0316421604075,94033.22853333985,0.0009484395469732994,0.019757507056576994,1.1992167501171591,90.7638310032762,16.213536995150168,0.10815936410220296,0.13354409831380612,0.5299169823823694,0.1147423520264153,0.8637704651360263,0.8750994707899976,0.1262164829432957,0.010137901081420791,0.00999306580347254,1.0137903209026084e-05,9.9930657013388e-06,1.0138198957154852e-05,9.993051504242964e-06,0.10006941811497264,0.6460418615946872,0.15059600843089183,0.10329271185944662,1.7384404774065825e-15,13.630383559910962,0.0006370174109578713,3537.2141531714205,0.3507120273805479,0.4700830176176307,7.863439460535641e-05
0.35,0.35,1077.792696322658,1077.8328719821372,1077.7087006271895,93582.96088666796,0.0009476829715693931,0.019758263631980907,1.224472979618006,92.68346301949603,17.51130868446034,0.11287388238669843,0.13358907906347756,0.5248096768540275,0.11725242825160641,0.8501576178219062,0.872633212668204,0.13982722301411651,0.010094170481601059,0.009995168838656627,1.009417229835625e-05,9.995168751517871e-06,1.009442628997954e-05,9.995156569094319e-06,0.07980436471800387,0.640849960961682,0.16150290780527463,0.11784276651503763,1.7609220602787754e-15,15.446488239193258,0.000632761043576776,3513.579504129617,0.3589254906927824,0.47519032314597265,7.863439460535641e-05
0.4,0.4,1073.6542783940208,1073.6966072730338,1073.5713291387854,93131.989221155,0.0009467513910731707,0.019759195212477126,1.261317232497521,94.10567479545429,18.723609980193768,0.1165623551500177,0.13364445176029635,0.5210572075088017,0.1208993856857443,0.8373718571245753,0.8690158904902081,0.15261155907687185,0.010064594953990267,0.009996590602023242,1.0064596078014166e-05,9.996590548166126e-06,1.0064273979340904e-05,9.99660598135375e-06,0.0646982757251511,0.6329234234394538,0.1700684530355441,0.13230984779984942,1.7654975990837645e-15,17.233816242375738,0.0006287850295016503,3491.501593827926,0.3666913239521036,0.4789427924911984,7.863439460535641e-05
0.45,0.45,1069.6877555015146,1069.7313106646136,1069.6069477814522,92681.12756661174,0.0009456617349634704,0.01976028486858682,1.307035707360257,95.18312277016628,19.866522680745895,0.11945288171333436,0.13370924418457425,0.5183024688971788,0.12542593672540758,0.8252597518309014,0.8645102085824972,0.16472266188556878,0.010043767725333622,0.009997591074165982,1.0043768419035493e-05,9.997591040967624e-06,1.0043198342434131e-05,9.99761832294415e-06,0.05318888967970348,0.6234796565266149,0.17665014570059542,0.14668130809308436,1.7576840262021702e-15,18.991852487815656,0.0006250366148962399,3470.6874920998816,0.37407292122823976,0.48169753110282115,7.863439460535641e-05
