reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in
reduction,porosity,0.15,,cold,,,,,,,,,,False,rc=1,,,,,,
reduction,porosity,0.2,,cold,99.1260930925681,29.929525486699248,1033.5543683116243,1033.4649190201146,1173.9,0,0.011062508058151337,True,True,True,optimal,36.491015171203,0.010187782566052407,0.509761331183686,0.18250596645845107,0.2975449197918105,1050.0
reduction,porosity,0.27,,cold,99.06189827675497,29.624816263758643,1034.8418291871549,1034.7547840385296,1173.9,0,0.01092843281937687,True,True,True,optimal,36.051218699898,0.010917720176731283,0.5173621286818537,0.17825666348349214,0.2934634876579214,1050.0
reduction,porosity,0.35,,cold,98.97317098416734,29.28558948855254,1036.3118142485916,1036.227998190679,1173.9,0,0.010778279398026948,True,True,True,optimal,35.59524778794611,0.011927959586069958,0.5266365479527368,0.1722262646121182,0.28920922784907543,1050.0
reduction,porosity,0.4,,cold,98.90878414202547,29.093469935249,1037.1800836936345,1037.0986542344638,1173.9,0,0.010692433541350988,True,True,True,optimal,35.367899637446186,0.012662468043363422,0.5326752579527633,0.16760466580652056,0.2870576081973525,1050.0
