reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,Tg_in
dry,solid_flow,0.5,0.00034508875739644966,walk,23.90841593277439,26.145273727231782,1013.7593600238152,1024.2162636875987,1073.0,0,0.0663881267898661,True,False,False,optimal,23.90841593277439,600.0
dry,solid_flow,0.55,0.0003795976331360947,walk,31.035072882630015,15.349299745335493,1018.2560609924589,1027.6808611898296,1073.0,0,0.12223480061589558,True,False,False,optimal,31.035072882630015,600.0
dry,solid_flow,0.6,0.0004141065088757396,walk,30.72595793853001,12.281265561410228,1032.5828204522693,1042.379813860791,1073.0,0,0.00035622035356607017,True,True,True,optimal,30.72595793853001,600.0
dry,solid_flow,0.65,0.0004486153846153846,walk,29.14507886532165,12.620164964348444,1042.8494653945293,1052.8176879317132,1073.0,0,0.0003802613415857275,True,True,True,optimal,29.14507886532165,600.0
dry,solid_flow,0.7,0.0004831242603550295,walk,27.67727999753069,12.906482212671905,1051.4090982905013,1061.388097029866,1073.0,0,0.00040360930157423204,True,True,True,optimal,27.67727999753069,600.0
dry,solid_flow,0.75,0.0005176331360946745,walk,26.322690705444796,13.151581618506356,1058.632600271721,1068.5445807432686,1073.0,0,0.0004262936259231074,True,True,True,optimal,26.322690705444796,600.0
dry,solid_flow,0.8,0.0005521420118343195,walk,25.068862521146578,13.360141442271292,1064.68602759059,1074.5019060950358,1073.0,0,0.0004483423508627551,True,True,True,optimal,25.068862521146578,600.0
dry,solid_flow,0.85,0.0005866508875739644,walk,23.911249816908214,13.539656388677592,1069.8117355585755,1079.524494467955,1073.0,0,0.00046978177697705226,True,True,True,optimal,23.911249816908214,600.0
dry,solid_flow,0.9,0.0006211597633136094,walk,21.95509545888756,17.105397735871374,1073.5298184266953,1083.2626840095706,1073.0,0,0.12115240149618356,True,False,False,optimal,21.95509545888756,600.0
dry,solid_flow,0.95,0.0006556686390532543,walk,21.164451964125945,14.072465807737524,1120.512124701208,1130.2534483332195,1073.0,0,0.2859864449046262,True,False,False,optimal,21.164451964125945,600.0
dry,solid_flow,1.0,0.0006901775147928993,cold,20.971087971373663,13.970353723642631,1081.6976988150195,1091.1139069785158,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.971087971373663,600.0
dry,solid_flow,1.05,0.0007246863905325443,walk,20.04059052570026,14.018006400038782,1082.8902237333482,1092.220944512702,1073.0,0,0.0005499251577098663,True,True,True,optimal,20.04059052570026,600.0
dry,solid_flow,1.1,0.0007591952662721894,walk,19.234380929428433,14.0947487401009,1084.8612172262729,1094.1061626384087,1073.0,0,0.0005686662613463143,True,True,True,optimal,19.234380929428433,600.0
dry,solid_flow,1.15,0.0007937041420118342,walk,18.484956117167524,14.16128635082885,1086.5256793284964,1095.6877909578386,1073.0,0,0.0005869291208672864,True,True,True,optimal,18.484956117167524,600.0
dry,solid_flow,1.2,0.0008282130177514792,walk,17.786613755631187,14.218735015609651,1087.9207955396555,1097.002698507801,1073.0,0,0.0006047318063838312,True,True,True,optimal,17.786613755631187,600.0
dry,solid_flow,1.25,0.0008627218934911242,walk,17.135028881392493,14.268597727529789,1089.0929206686963,1098.0969298063246,1073.0,0,0.0006220914959141685,True,True,True,optimal,17.135028881392493,600.0
dry,solid_flow,1.3,0.0008972307692307692,walk,16.52726271830218,14.313001716296196,1090.103536144242,1099.031640145315,1073.0,0,0.0006390244874805359,True,True,True,optimal,16.52726271830218,600.0
dry,solid_flow,1.4,0.000966248520710059,walk,15.41418315488329,14.375898273809348,1091.4053395929757,1100.1879078212419,1073.0,0,0.0006717058320486797,True,True,True,optimal,15.41418315488329,600.0
dry,solid_flow,1.5,0.001035266272189349,walk,14.431608315075472,14.426425861869808,1092.3547794995106,1100.9975825617505,1073.0,0,0.003144994792756154,True,True,True,optimal,14.431608315075472,600.0
dry,solid_flow,2.0,0.0013803550295857986,walk,10.88459625312858,14.502028698065898,1092.497255162652,1100.518049566136,1073.0,0,0.0008388027721100989,True,True,True,optimal,10.88459625312858,600.0
