reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in
,porosity,0.15,,,,,,,,,,,,False,rc=1,,,,,,
,porosity,0.2,,,,,,,,,,,,False,rc=1,,,,,,
wet,porosity,0.27,,cold,40.889673513428235,26.772524968028762,1160.0431505454617,1160.091716586239,1173.9,0,0.0091074763244186,True,True,True,optimal,10.54599338953444,4.902956330181993e-17,0.12929638378995828,0.34632089300346247,0.5243827232065792,1050.0
wet,porosity,0.35,,cold,41.21176612126915,26.974772596478015,1160.5232790033413,1160.5508127936885,1173.9,0,0.009166178993496315,True,True,True,optimal,10.586056590740949,0.0,0.12967701200443082,0.3492418778866431,0.5210811101089261,1050.0
wet,porosity,0.4,,cold+n_cont40,41.748195563649126,27.32696528075066,1161.379951040128,1161.4277777748514,1173.9,0,0.00926897115988992,True,True,True,optimal,10.729202870500805,1.5566861926698018e-32,0.13123585333360063,0.35320255244208726,0.5155615942243121,1050.0
