reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,Tg_in
dry,y_O2,0.05,,walk,5.548621322069482,20.706517037408474,790.7627264869957,792.5128117113303,1073.0,0,0.22104180951237457,True,False,False,optimal,5.548621322069482,600.0
dry,y_O2,0.08,,walk,8.468736047912962,14.809293664231275,846.924404372359,849.6837792383033,1073.0,0,0.0005378105769338003,True,False,False,optimal,8.468736047912962,600.0
dry,y_O2,0.1,,walk,10.372561512255118,14.510813289370741,883.8743259446296,887.384424870256,1073.0,0,0.0005367021835476537,True,True,True,optimal,10.372561512255118,600.0
dry,y_O2,0.12,,walk,11.737986651398902,15.904029274247256,921.2274266064275,925.6495931529738,1073.0,0,0.09963393229196389,True,False,False,optimal,11.737986651398902,600.0
dry,y_O2,0.15,,walk,15.001714327284171,13.9912129601459,971.7952285622697,977.4829288191919,1073.0,0,0.0005339510914367054,True,True,True,optimal,15.001714327284171,600.0
dry,y_O2,0.18,,walk,17.870520117654635,13.888982233830326,1025.0202656829465,1032.5399830661413,1073.0,0,0.0005323139578559199,True,True,True,optimal,17.870520117654635,600.0
dry,y_O2,0.21,,cold,20.971087971373663,13.970353723642631,1081.6976988150195,1091.1139069785158,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.971087971373663,600.0
