reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,Tg_in
wet,gas_flow,0.5,0.01035266272189349,cold,99.3815147886346,99.92807193201327,378.938969669896,430.18076642567513,1173.9,0,99.04331957817466,False,False,False,maxIterations,99.3815147886346,1050.0
wet,gas_flow,0.75,0.015528994082840235,cold,41.770363535936,38.6684364883673,1187.682717847456,1187.7516954432715,1173.9,0,1.8338159776495548,False,False,False,optimal,41.770363535936,1050.0
wet,gas_flow,0.8,0.016564260355029583,cold,42.79464708397065,27.86956298091767,878.794958430484,885.5879015944262,1173.9,0,7.083276355428874,False,False,False,maxIterations,42.79464708397065,1050.0
wet,gas_flow,0.85,0.017599526627218934,cold,39.97081264783266,30.82955277659195,1170.2088696412573,1170.244821346238,1173.9,0,0.009441542198561692,True,True,True,optimal,39.97081264783266,1050.0
wet,gas_flow,0.9,0.01863479289940828,cold,40.08797608933015,29.175249971005663,1166.192183275887,1166.232577442448,1173.9,0,0.009284370633136987,True,True,True,optimal,40.08797608933015,1050.0
wet,gas_flow,1.0,0.02070532544378698,cold,40.889673513428235,26.772524968028762,1160.0431505454617,1160.091716586239,1173.9,0,0.0091074763244186,True,True,True,optimal,40.889673513428235,1050.0
wet,gas_flow,1.5,0.03105798816568047,cold,42.92377110986987,18.66779367107082,1135.6774335336847,1135.7612374502191,1173.9,0,0.008046582716350491,True,True,True,optimal,42.92377110986987,1050.0
wet,gas_flow,2.0,0.04141065088757396,cold,42.902486185039294,13.921274478835985,1118.6066782901187,1118.7175454694964,1173.9,0,0.006961118265950615,True,True,True,optimal,42.902486185039294,1050.0
