z,x_norm,T_gas,T_bub,T_sol,P_emul,F_emul,F_bub,C_react,X_solid,X_gas,db,db_max,delta,y_emul_H2,y_bub_H2,y_emul_H2O,y_bub_H2O,y_emul_N2,y_bub_N2,y_emul_O2,y_bub_O2,y_emul_CO2,y_bub_CO2,w_Fe2O3,w_Fe3O4,w_FeO,w_Fe,w_Al2O3
0.0,0.0,1049.9999999999893,1050.0000000000002,1173.9000000000003,96600.0,0.0010041286491797832,0.019701196794607193,10.954406097493301,0.0,1.6925558017306143e-14,0.03456713177578715,0.13038000303078529,0.6525384646662465,1e-05,1e-05,0.9900000000000001,0.99,0.01,0.01,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1.0,0.0
0.03500000000000001,0.05,1108.057696430477,1107.3128939770243,1109.2086732733424,96175.84981730269,0.0009473392734463799,0.019758607330103914,1.0562191932966387,11.322249297089062,7.00101152637524,0.051107994438967595,0.13365668643740133,0.6216953344009859,0.8888034682682622,0.03002716791525733,0.10117764866604981,0.9599530935356133,0.009998884942412972,0.009999739087897103,9.999066166467049e-06,9.99973039899202e-06,9.999057108575603e-06,9.999730833278512e-06,2.3480377819251683e-17,0.011629838733176958,0.13015975902267896,0.8582104022441439,2.3480377819251683e-17
0.07000000000000002,0.1,1114.1773317243392,1114.1149565464154,1114.235861413995,95719.01379864255,0.0009376601206366434,0.019768286482913643,0.3825322375316843,15.142169229372193,9.403721470434176,0.06417428888209596,0.1341946253897564,0.5969953339271212,0.9529585326285521,0.05231896373112714,0.03702186806653966,0.9376613321116628,0.009999599876331275,0.009999704758546947,9.99971818665363e-06,9.999699146787363e-06,9.999710390166594e-06,9.999699516594579e-06,3.74112019664012e-17,0.01805909334671625,0.16967405789227713,0.8122668487610064,3.741120362076243e-17
0.10500000000000002,0.15,1118.8177890603572,1118.7619117283018,1118.850168499863,95237.27246445933,0.000929071549925821,0.019776875053624472,0.2702296038913255,17.963327737817732,11.20027739267102,0.07615312206357565,0.13468416006657552,0.5784692626842604,0.9634285284916402,0.07083911685537177,0.02639486977674857,0.919148554641461,0.010156289120867664,0.009992343817059893,1.0156370270154002e-05,9.992340004855332e-06,1.0156240473417977e-05,9.992346102403829e-06,4.514400810580519e-17,0.024155988729268628,0.19694628005491874,0.7788977312158126,4.51440089329858e-17
0.14000000000000004,0.2,1122.7456752914356,1122.6931229745023,1122.7717316467383,94738.9670377481,0.0009209770744282844,0.019784969529122003,0.21674205675788322,20.31951921701827,12.716959086113791,0.08523277897572708,0.1351806655552132,0.5669386931665396,0.9683717359613522,0.08668781471030085,0.021356502013778002,0.9033042192265518,0.010251259667303404,0.009987990075466215,1.0251315925552694e-05,9.987987456682404e-06,1.0251041640793987e-05,9.988000224454136e-06,4.9575739079760116e-17,0.03022271183626727,0.21839184400565337,0.7513854441580792,4.9575738252579503e-17
0.17500000000000004,0.25,1126.123645186394,1126.08809760296,1126.1454719258782,94228.15955731833,0.0009132636873208827,0.019792682916229404,0.1789857020306888,22.323202245916303,14.019646612950828,0.09289349153007076,0.13568697293439042,0.5586498060231692,0.9720066243853822,0.10035496604892997,0.01778516478117641,0.8896340327382141,0.010187835411996587,0.009991019163023281,1.0187875361844966e-05,9.99101731967814e-06,1.0187546082847879e-05,9.991032513098474e-06,5.2063837150954294e-17,0.03614792474336456,0.2356122038751958,0.7282398713814395,5.2063837978134907e-17
0.21000000000000005,0.3,1129.1931182260944,1129.1588410676275,1129.2123878476202,93707.49006898353,0.000905748544849869,0.019800198058700424,0.15550109106771867,24.115959968299023,15.195802635367194,0.09936481578058064,0.13615772497504006,0.5524736678219245,0.974256460796921,0.11275910778831028,0.01557978796459836,0.8772277823698335,0.01014346459076348,0.009993123581817163,1.0143493582045693e-05,9.993122255627814e-06,1.0143154135160809e-05,9.993137783428153e-06,5.3553983999314485e-17,0.0420693265834194,0.2502065868956258,0.7077240865209548,5.355398234495326e-17
0.24500000000000005,0.35,1132.0894883195788,1132.0421216222646,1132.1072754956456,93178.86612497435,0.0008983347736270503,0.019807611829923237,0.14026832754472043,25.782963619915698,16.29867323010173,0.10483922570854677,0.13660058999521302,0.5478465739961337,0.9755923734820756,0.124434228739554,0.014169585316173775,0.865555974308455,0.010217606336970116,0.009989817301609765,1.0217626811262876e-05,9.989816373039005e-06,1.0217237969258032e-05,9.989834008193482e-06,5.424243401543318e-17,0.04810654232582637,0.26308309855382694,0.6888103591203465,5.424243401543318e-17
0.2800000000000001,0.4,1134.789150781786,1134.7426490420903,1134.8056983361892,92644.01746904575,0.0008910534358625412,0.019814893167687753,0.12653106732943017,27.323166895888278,17.3260741918606,0.10948555530575953,0.13706728850436062,0.5445857913233467,0.9768220344325429,0.1353200468017528,0.012886327121233332,0.8546724825815523,0.010271096680855829,0.009987495606235982,1.0271110237810492e-05,9.987494996594997e-06,1.0270655130071982e-05,9.987515462277587e-06,5.4656124410563814e-17,0.05416554646356002,0.27436118413855654,0.6714732693978834,5.4656125237744427e-17
0.3150000000000001,0.45,1137.3366583282445,1137.291164007353,1137.3521811243427,92104.18550488171,0.0008838770769711929,0.019822069526579097,0.11553188408462726,28.760326074841636,18.29232201217495,0.11344045786161705,0.13753226971809832,0.5422842469140917,0.9778074613050362,0.1455728628362523,0.011861666571851668,0.8444213131186821,0.01031025212930936,0.00998585231766869,1.0310260003963744e-05,9.98585196653348e-06,1.0309733798691705e-05,9.985875430318487e-06,5.477253850125208e-17,0.060247852433397094,0.2843373340667782,0.6554148134998246,5.477253850125208e-17
0.3500000000000001,0.5,1139.7602186870088,1139.7156361739449,1139.77493668841,91560.35497663033,0.0008767898486870616,0.019829156754863228,0.10657123713506267,30.112790780217324,19.20853695536297,0.11681807868165661,0.13799646472873964,0.540733472640736,0.9786100119449019,0.1553061461831627,0.011030119541953966,0.8346891957341364,0.010339190721319664,0.009984688679271216,1.0339193892970663e-05,9.984688539029677e-06,1.033859793155886e-05,9.984714890776383e-06,5.46769197311634e-17,0.06635839865169355,0.2932347413816391,0.6404068599666675,5.4676918903982785e-17
